Company Name,Market_cap,Qtr_sales,Price_sales_ratio
Zee Entertainmen,54817.89,1838.07,29.82
Cairn India,53528.57,2149.36,24.9
Indiabulls Hous.,52781.67,3115.89,16.94
Ambuja Cem.,52361.46,6170.71,8.49
Interglobe Aviat,48621.37,6177.88,7.87
Cipla,48577.43,3913.82,12.41
Piramal Enterp.,47483.97,2858.36,16.61
United Spirits,46725.05,2263.3,20.64
Pidilite Inds.,45855.5,1542.9,29.72
Siemens,44239.04,2429.5,18.21
Cadila Health.,41876.19,3259.6,12.85
NMDC,41415.33,2469.03,16.77
DLF,40159.35,1693.72,23.71
Marico,39813.84,1337.59,29.77
Ashok Leyland,39047.57,7113.16,5.49
Bharat Electron,37776.23,2512.82,15.03
ICICI Lombard,37219.22,2110.99,17.63
Lupin,36878.85,3975.62,9.28
Petronet LNG,36615.0,7757.06,4.72
Aditya Birla Cap,36215.92,3325.02,10.89
Dr Reddy's Labs,35893.55,3834.1,9.36
Sun TV Network,35824.26,683.28,52.43
SAIL,35729.04,15323.65,2.33
UPL,35349.58,4194.0,8.43
Oracle Fin.Serv.,34620.19,1059.12,32.69
Bharat Forge,34397.69,1390.55,24.74
Biocon,34347.0,1057.9,32.47
BHEL,34162.38,6626.35,5.16
Aurobindo Pharma,33676.52,4336.11,7.77
Bank of Baroda,33364.23,11303.24,2.95
Idea Cellular,33047.33,6509.6,5.08
ABB,31983.33,2779.4,11.51
Havells India,31798.18,1965.77,16.18
Container Corpn.,31450.56,1639.55,19.18
TVS Motor Co.,30919.51,3684.95,8.39
ACC,30803.68,3494.24,8.82
Bajaj Holdings,30305.94,317.85,95.35
P & G Hygiene,30202.12,704.16,42.89
MRF,30030.01,3798.82,7.91
Shriram Trans.,29327.64,3087.67,9.5
Colgate-Palm.,9885.05,1137.17,8.69
L&T Fin.Holdings,28932.43,2630.17,11.0
Punjab Natl.Bank,28270.22,12175.48,2.32
NHPC Ltd,28059.24,1497.93,18.73
Power Fin.Corpn.,27905.66,6194.77,4.5
United Breweries,27797.69,1197.1,23.22
Oil India,27404.15,2852.55,9.61
Rural Elec.Corp.,27382.24,5498.45,4.98
GlaxoSmith C H L,27340.89,1034.67,26.42
M & M Fin. Serv.,26928.37,2182.45,12.34
Divi's Lab.,26915.86,1037.88,25.93
Kansai Nerolac,26409.76,1145.01,23.07
Alkem Lab,25957.56,1422.52,18.25
LIC Housing Fin.,25880.98,3738.1,6.92
Future Retail,25859.25,4693.39,5.51
Page Industries,25383.03,621.03,40.87
Dalmia Bhar.,25288.97,2090.54,12.1
IIFL Holdings,24788.54,1612.14,15.38
L & T Infotech,24626.1,1883.8,13.07
Aditya Bir. Nuv.,24592.21,4287.12,5.74
Emami,23720.37,756.64,31.35
Cummins India,23562.0,1354.67,17.39
Berger Paints,23537.8,1338.63,17.58
Rajesh Exports,23495.54,41304.84,0.57
Tata Power Co.,23369.24,6949.91,3.36
3M India,23101.19,645.77,35.77
Jindal Steel,23094.39,6992.56,3.3
Edelweiss.Fin.,22915.42,2069.45,11.07
Gillette India,21976.74,407.52,53.93
Adani Enterp.,21776.04,9938.37,2.19
Adani Transmissi,21677.26,1782.29,12.16
Balkrishna Inds,21372.18,1106.31,19.32
Cholaman.Inv.&Fn,20832.4,1404.33,14.83
Indraprastha Gas,20779.52,1183.9,17.55
MRPL,20750.78,14100.98,1.47
Glaxosmi. Pharma,20489.35,703.91,29.11
PNB Housing,20037.85,1438.49,13.93
RBL Bank,19748.79,1150.79,17.16
Castrol India,18803.22,970.3,19.38
Canara Bank,18590.66,10774.64,1.73
GRUH Finance,18535.09,428.47,43.26
KIOCL,18534.15,442.81,41.86
Voltas,18453.44,1374.67,13.42
Godrej Inds.,18298.09,2458.48,7.44
Whirlpool India,18254.06,958.01,19.05
Sundaram Finance,18159.85,677.23,26.81
Federal Bank,18086.81,2501.2,7.23
Tata Comm,17963.55,4114.63,4.37
Endurance Tech.,9885.05,1137.17,8.69
Tata Chemicals,17941.47,2573.91,6.97
Exide Inds.,17930.75,2276.54,7.88
IDFC Bank,17762.77,2283.72,7.78
NBCC,17712.0,1321.5,13.4
IDBI Bank,17559.35,5797.2,3.03
The Ramco Cement,17246.58,1056.36,16.33
Dewan Hsg. Fin.,17097.54,2631.6,6.5
MphasiS,16728.78,1660.69,10.07
Apollo Hospitals,16683.97,1896.14,8.8
Reliance Nip.Lif,16655.58,394.0,42.27
Tata Global,16589.24,1730.39,9.59
Godrej Propert.,16545.51,627.03,26.39
AU Small Finance,16453.67,464.17,35.45
Indian Hotels,16150.13,1197.26,13.49
Motil.Oswal.Fin.,16108.15,728.63,22.11
HUDCO,16065.25,1064.49,15.09
Oberoi Realty,16044.51,356.2,45.04
Indian Bank,15739.16,4354.22,3.61
SJVN,15512.35,436.58,35.53
Bank of India,15339.87,9334.84,1.64
Supreme Inds.,15248.94,1278.3,11.93
Muthoot Finance,15226.72,1553.71,9.8
NLC India,15201.61,1706.48,8.91
Info Edg.(India),14845.05,1137.17,13.05
Glenmark Pharma.,14785.53,2203.67,6.71
Jubilant Life,14775.08,2067.76,7.15
Crompton Gr. Con,14638.57,938.19,15.6
Honeywell Auto,14526.24,721.48,20.13
Natco Pharma,14456.9,562.2,25.71
PC Jeweller,14334.81,2644.89,5.42
Quess Corp,14330.19,1583.95,9.05
CRISIL,14164.81,441.13,32.11
WABCO India,13843.64,649.91,21.3
Amara Raja Batt.,13774.32,1553.46,8.87
Sterlite Tech.,13743.95,835.18,16.46
AIA Engg.,13593.35,572.16,23.76
KRBL,13492.55,783.51,17.22
Max Financial,13401.76,1137.17,11.79
Indiabulls Vent.,13396.15,238.43,56.18
Century Textiles,13369.97,2069.39,6.46
Jubilant Food.,13178.43,795.17,16.57
Bayer Crop Sci.,13166.76,479.7,27.45
Graphite India,13129.9,933.06,14.07
JSW Energy,13104.0,1993.2,6.57
Central Bank,13046.18,6026.55,2.16
Natl. Aluminium,9885.05,1137.17,8.69
CESC,12996.56,1706.0,7.62
Shri.City Union.,12995.31,1338.09,9.71
L&T Technology,12942.25,969.1,13.35
Rain Industries,12655.17,3050.81,4.15
Torrent Power,12599.37,2754.64,4.57
Dilip Buildcon,12526.06,1942.12,6.45
TI Financial,12507.91,886.68,14.11
JM Financial,12382.64,837.73,14.78
Adani Power,12091.5,4844.46,2.5
Reliance Power,12033.99,2494.65,4.82
Reliance Capital,11966.83,4749.0,2.52
Syngene Intl.,11950.0,387.7,30.82
Abbott India,11924.12,881.49,13.53
Hatsun AgroProd.,11896.52,1012.94,11.74
Symphony,11882.55,217.63,54.6
Gujarat Gas,11759.77,1571.33,7.48
Reliance Infra.,11737.24,5861.04,2.0
Aditya Bir. Fas.,11718.17,1855.0,6.32
Ajanta Pharma,11651.8,587.05,19.85
P I Inds.,11564.22,537.74,21.51
City Union Bank,11554.4,865.36,13.35
Varun Beverages,11498.3,329.92,34.85
Mindtree,11438.78,1377.7,8.3
Prestige Estates,11353.13,1272.3,8.92
Future Consumer,11203.15,784.05,14.29
Sundram Fasten.,11202.53,848.13,13.21
Sanofi India,11182.45,667.5,16.75
Guj.St.Petronet,11064.74,350.18,31.6
Godrej Agrovet,10918.75,865.77,12.61
Finolex Cables,10900.75,656.78,16.6
Bombay Burmah,10864.53,1137.17,9.55
SRF,10842.62,1397.06,7.76
GE T&D India,10778.42,1438.55,7.49
Alembic Pharma,10764.29,840.02,12.81
SPARC,10755.13,19.42,553.82
GMR Infra.,10653.44,2072.29,5.14
HEG,10630.76,842.71,12.61
Trent,10589.27,521.32,20.31
Engineers India,10565.56,473.42,22.32
Avanti Feeds,10558.13,706.43,14.95
Pfizer,10508.48,456.54,23.02
Escorts,10450.56,1205.03,8.67
Tata Motors-DVR,10442.09,7769.67,1.34
Blue Dart Exp.,10422.45,704.59,14.79
Indbull.RealEst.,10338.4,2100.13,4.92
